drug_name,avg_attention,n_patients,is_lipid_drug
Chlorthalidone,0.050521403756718354,77,False
PNEUMOcoccal 23-valent polysaccharide vaccine,0.048611748681746815,76,False
Atenolol,0.0472886320669204,140,False
Hydrochlorothiazide,0.04503183890970386,245,False
Ibuprofen,0.04322176456691757,155,False
Influenza Vaccine Quadrivalent,0.042621676737014814,701,False
RisperiDONE,0.04059848298747388,63,False
Rivaroxaban,0.04002116095351497,97,False
Zolpidem Tartrate,0.03974020274472423,64,False
Influenza Vaccine High-Dose Quadrivalent,0.039610720633600764,208,False
Enoxaparin (Prophylaxis),0.03890945817347459,261,False
Rosuvastatin Calcium,0.038544606496413635,224,True
Losartan Potassium,0.03824908367576117,376,False
TiCAGRELOR,0.03782065988828739,66,False
Escitalopram Oxalate,0.03756641413740538,108,False
Simvastatin,0.03745532000698803,228,True
Carbidopa-Levodopa (25-100),0.037091006966844454,59,False
NIFEdipine (Extended Release),0.03707037793527193,68,False
Clopidogrel,0.03678297350950676,381,False
Donepezil,0.03649830806323073,55,False
Pravastatin,0.03647255430157047,164,True
Atorvastatin,0.03644255232182422,1279,True
Nicotine Patch,0.03633315996784303,90,False
Omeprazole,0.036273746254373594,731,False
Cetirizine,0.03621973660351201,88,False
Enoxaparin Sodium,0.036144767829961184,209,False
MoviPrep,0.03606700924865436,128,False
Tamsulosin,0.03601029321041881,351,False
amLODIPine,0.03578224686168184,745,False
Acetaminophen,0.03568375651847641,3922,False
Cephalexin,0.03564565848559141,50,False
Fluticasone Propionate NASAL,0.035620846978137985,208,False
Aspirin,0.03560271662499723,1459,False
Timolol Maleate 0.5%,0.03549268835207872,57,False
Lisinopril,0.03511438431047997,722,False
Levothyroxine Sodium,0.03503742439654997,644,False
Metoprolol Succinate XL,0.03499680203698973,862,False
Multivitamins,0.034878747243989795,409,False
Sertraline,0.034717196845052756,223,False
Apixaban,0.03448306403737119,470,False
BuPROPion (Sustained Release),0.0344697255641222,57,False
Valsartan,0.0344076844704178,111,False
Loratadine,0.03428018376333256,73,False
Ramelteon,0.034152145044527925,734,False
Cefpodoxime Proxetil,0.03407316492690194,62,False
Venlafaxine XR,0.03402660273795211,86,False
Ketorolac,0.03399716653172473,307,False
Ezetimibe,0.03391825265134685,64,True
Aluminum-Magnesium Hydrox.-Simethicone,0.03389529286999337,137,False
Amoxicillin-Clavulanic Acid,0.033886609410636884,89,False
Nitroglycerin SL,0.03386153123912311,155,False
Scopolamine Patch,0.033818179837514444,97,False
Vitamin D,0.033761675455794525,473,False
Docusate Sodium,0.03373579572265347,1650,False
Sodium Chloride 0.9%  Flush,0.03368468007809201,4300,False
Colchicine,0.03366624636368619,63,False
Acetaminophen (Liquid),0.03345869128991451,70,False
Diazepam,0.03340755630094205,137,False
Latanoprost 0.005% Ophth. Soln.,0.03338679322389079,134,False
Finasteride,0.03316197848941823,133,False
FLUoxetine,0.03306911812761604,134,False
ClonazePAM,0.03301989117589516,195,False
Topiramate (Topamax),0.03298207473587887,58,False
BuPROPion XL (Once Daily),0.03294609050805632,57,False
Ciprofloxacin,0.03290817810391838,66,False
Morphine Sulfate,0.032689841029415856,482,False
CeFAZolin,0.03268650017264817,450,False
Ferrous Sulfate,0.03268192022647939,162,False
Ondansetron,0.032591432856773975,1330,False
Diltiazem Extended-Release,0.03248048356423775,117,False
Sulfameth/Trimethoprim DS,0.03247419744729996,70,False
Senna,0.032114213860117286,2805,False
Ciprofloxacin HCl,0.03207299080103228,146,False
Vitamin D3 (Cholecalciferol),0.03205906058428809,176,False
Montelukast,0.03188095036191198,106,False
OxycoDONE (Immediate Release) ,0.03183405903377095,98,False
HydrOXYzine,0.03180408568798818,88,False
LamoTRIgine,0.03177865379004051,92,False
Allopurinol,0.031632791214298066,221,False
TraMADol,0.03163144823850533,358,False
Heparin,0.03159059037070174,3289,False
Simethicone,0.031410890382791594,266,False
MetFORMIN (Glucophage),0.03129236090221796,116,False
Calcium Carbonate,0.031125731932692195,414,False
Citalopram,0.031005140967093982,143,False
DULoxetine DR,0.030789421177766424,94,False
Gabapentin,0.0307667189203255,713,False
Pantoprazole,0.030593685651907065,817,False
Ursodiol,0.030438916378275113,54,False
Enoxaparin (Treatment),0.030421440237028113,59,False
Levofloxacin,0.02992705201966242,71,False
Cepacol (Sore Throat Lozenge),0.029883655870893623,123,False
Ondansetron ODT,0.02980509487912059,100,False
Prochlorperazine,0.029804088954221118,165,False
OxyCODONE (Immediate Release),0.029556876679675447,1800,False
Ampicillin-Sulbactam,0.0295437089064055,63,False
Fluticasone Propionate 110mcg,0.029456276437876936,107,False
Albuterol Inhaler,0.02914244787678832,525,False
GuaiFENesin-Dextromethorphan,0.029095124083165176,78,False
Cyanocobalamin,0.02898176496008826,193,False
Baclofen,0.02896846503717825,80,False
Fluticasone-Salmeterol Diskus (250/50) ,0.028963805243913687,124,False
Dextrose 10% in Water (D10W),0.028898959340271996,204,False
DiphenhydrAMINE,0.028891639316476616,253,False
Heparin Flush (100 units/ml),0.028772467984726616,102,False
TraZODone,0.028766131282903024,454,False
Polyethylene Glycol,0.028758266184394886,1373,False
Mirtazapine,0.02869816461969523,157,False
Milk of Magnesia,0.028698094963171595,148,False
rifAXIMin,0.028646872941193717,53,False
Glucose Gel,0.028547330623813087,1174,False
Pregabalin,0.028518842222789925,123,False
Glucagon,0.028512256456786962,1172,False
FoLIC Acid,0.02851142364830434,273,False
Bisacodyl,0.028271037788198353,1342,False
Aspirin EC,0.028199510039904944,208,False
Clindamycin,0.028088097050786017,50,False
Cyclobenzaprine,0.028077297970468616,81,False
Ferric Gluconate,0.027995436871936032,91,False
Artificial Tears,0.02788331886122544,124,False
Glycopyrrolate,0.027617893990058946,106,False
Famotidine,0.0275604139968483,497,False
HydrALAZINE,0.027505517285436126,783,False
Ascorbic Acid,0.0274879755773421,87,False
CefTRIAXone,0.027392632091963416,659,False
Isosorbide Mononitrate (Extended Release),0.027264284043662292,177,False
Benzonatate,0.027105284526756725,159,False
Acyclovir,0.027003179596326615,118,False
GuaiFENesin ER,0.02698295036526887,76,False
Chloraseptic Throat Spray,0.026838258673836077,56,False
Labetalol,0.026716566113820235,286,False
LORazepam,0.026679406806886144,1126,False
Tiotropium Bromide,0.026631136438844346,133,False
Sulfameth/Trimethoprim SS,0.026424217799847775,77,False
Sarna Lotion,0.026409670225895788,98,False
HYDROmorphone (Dilaudid),0.026252963070936025,1410,False
Calcitriol,0.02600352645360975,93,False
Ranitidine,0.025957745171728587,210,False
Dextrose 50%,0.025921243454512157,1184,False
Lidocaine 5% Patch,0.02581445936505732,475,False
CARVedilol,0.02580004347526746,339,False
Spironolactone,0.025683068015496247,256,False
OLANZapine,0.025647737515152345,141,False
Magnesium Oxide,0.025576033856912306,561,False
GuaiFENesin,0.025501466013731496,155,False
PredniSONE,0.025169996552184253,499,False
MetroNIDAZOLE,0.024987576262598548,384,False
Doxycycline Hyclate,0.024976899066851254,105,False
Digoxin,0.024956604583595676,87,False
LOPERamide,0.02482784227342219,111,False
Multivitamins W/minerals,0.02469196863964481,265,False
ALPRAZolam,0.02466746994836645,91,False
Acetaminophen-Caff-Butalbital,0.02463261795423503,53,False
Albuterol 0.083% Neb Soln,0.02457756990092633,381,False
Dexamethasone,0.024549450731945633,281,False
QUEtiapine Fumarate,0.02453141384028706,332,False
LevoFLOXacin,0.024242390474339702,53,False
Thiamine,0.02401683639391517,282,False
Methadone,0.02397205868284359,66,False
LevETIRAcetam,0.023920813893068462,343,False
Azithromycin,0.023692286119879228,382,False
Potassium Chloride,0.02369065683953803,3474,False
Sodium Chloride Nasal,0.02354213915651246,98,False
Ipratropium Bromide Neb,0.023424793300884112,63,False
Metoclopramide,0.023230702386918798,134,False
Magnesium Sulfate,0.023200499703438064,1071,False
Tacrolimus,0.023195485565431263,392,False
Potassium Citrate,0.02315544816539497,74,False
Torsemide,0.0231211777687983,442,False
Warfarin,0.023086290573701262,992,False
Lidocaine Jelly 2% (Glydo),0.02295138059671314,279,False
Mycophenolate Mofetil,0.02295002873454775,91,False
Neutra-Phos,0.022802872808310844,538,False
Haloperidol,0.02279993385450341,289,False
Vancomycin Oral Liquid,0.022798175140675427,69,False
Carvedilol,0.02273972313662972,99,False
Acetaminophen IV,0.022286181394537235,743,False
Potassium Phosphate,0.022150556522387045,108,False
LACOSamide,0.02207674082826104,57,False
Metoprolol Tartrate,0.022034446138711777,1854,False
Diltiazem,0.02177331498520967,169,False
Phosphorus,0.021668750434182583,200,False
Ipratropium-Albuterol Neb,0.021534019057983404,365,False
Captopril,0.021315732697510848,92,False
Lorazepam,0.021050055451210466,62,False
Lactulose,0.020945195659305565,389,False
Midodrine,0.020695250314063655,167,False
Lansoprazole Oral Disintegrating Tab,0.02055692415507067,84,False
Sodium Bicarbonate,0.020465990790071782,178,False
MethylPREDNISolone Sodium Succ,0.02021613846361441,152,False
Fluconazole,0.01959006062380093,68,False
Meropenem,0.01938611742348299,109,False
Potassium Chloride (Powder),0.019377042996508578,163,False
Piperacillin-Tazobactam,0.01928565865675882,254,False
Nystatin Oral Suspension,0.01915353146504681,53,False
Lidocaine 1%,0.019121996462723324,197,False
Sodium Phosphate,0.019031567786563963,149,False
OLANZapine (Disintegrating Tablet),0.019005151321728003,136,False
Heparin Flush (10 units/ml),0.018939431003713807,538,False
Insulin,0.0188027340013029,5645,False
Heparin (Hemodialysis),0.018791073447336323,69,False
NiCARdipine,0.018730943534700645,63,False
sevelamer CARBONATE,0.01871898742335523,163,False
Vancomycin,0.018364273411393676,1165,False
Amiodarone,0.018292669270646898,292,False
Phytonadione,0.017904242001339256,166,False
Isosorbide Dinitrate,0.01790083895863618,118,False
Furosemide,0.017816412768420508,3167,False
Heparin Dwell (1000 Units/mL),0.017492726368356262,303,False
Albumin 25%,0.017391759748844538,85,False
Epoetin alfa-epbx (Retacrit),0.017378935176465247,63,False
Magnesium Sulfate Replacement (Critical Care and Oncology),0.017250684297983057,1070,False
Potassium Chloride Replacement (Critical Care and Oncology) ,0.01722298951327556,973,False
CefePIME,0.016568248686804014,550,False
Albumin 25% (12.5g / 50mL),0.01645989010908774,133,False
Octreotide Acetate,0.016380400027868884,53,False
EPINEPHrine,0.016352263593188164,89,False
