drug,att_improved,att_not_imp,att_diff,att_ratio,is_lipid_drug,category
Esomeprazole sodium,0.05265010520815849,0.020762852765619753,0.03188725244253874,2.5357837770414364,False,Other
Diazepam - CIWA protocol,0.0432126180967316,0.016436495119705796,0.026776122977025807,2.6290652466975017,False,Other
LamiVUDine,0.04201411921530962,0.015340096782892942,0.026674022432416677,2.7388431644162226,False,Other
Cilostazol,0.053237395361065865,0.027694995887577532,0.025542399473488332,1.9222748967782033,False,Other
Emtricitabine-Tenofovir (Truvada),0.04392945633402893,0.01843375377357006,0.02549570256045887,2.3830987911433477,False,Other
PARoxetine,0.051699950721942715,0.028291190841368268,0.023408759880574448,1.8274222181678341,False,Other
Nicotine Polacrilex,0.05765917667975792,0.04043033719062805,0.01722883948912987,1.4261364283927762,False,Other
DULoxetine,0.04212369791725103,0.025609142866662958,0.01651455505058807,1.6448694958895367,False,Other
Morphine Sulfate (Oral Solution) 2 mg/mL,0.02680187192387306,0.01086788841833671,0.015933983505536348,2.466152659301501,False,Other
Vitamin E,0.03569890931248665,0.0200266120955348,0.015672297216951847,1.7825735647242198,False,Other
Propranolol,0.04683398866259,0.03138093696907163,0.01545305169351837,1.492434362579695,False,Beta-blocker
MetFORMIN XR (Glucophage XR),0.03451933024916798,0.019478595070540904,0.015040735178627074,1.7721673521194774,False,Antidiabetic
OXcarbazepine,0.04316221770237793,0.02857700463097829,0.01458521307139964,1.510382850118198,False,Other
Clozapine,0.02735853623598814,0.012995922317107519,0.014362613918880622,2.1051631095065892,False,Other
Raltegravir,0.034781414084136486,0.021160273546619073,0.013621140537517413,1.6437128758051316,False,Other
Methocarbamol,0.03345713081459204,0.02048657424747944,0.012970556567112601,1.6331247191661842,False,Other
Fluticasone-Salmeterol Diskus (100/50),0.03953724736347795,0.026640511699952185,0.012896735663525762,1.4841024004636107,False,Other
2,0.030781567030187165,0.017930010333657265,0.0128515566965299,1.71676236975757,False,Other
MethylPHENIDATE (Ritalin),0.034523357422305986,0.02216515676783664,0.012358200654469347,1.5575507894625882,False,Other
Remdesivir,0.04194713113829494,0.029866013468967542,0.012081117669327394,1.404510554509739,False,Other
Zinc Sulfate,0.03032515746437841,0.018547162879258394,0.011777994585120015,1.6350294469183502,False,Other
Dolutegravir,0.03282014019787312,0.02125669311499223,0.011563447082880887,1.5439908747953486,False,Other
TiCAGRELOR,0.04209771336669602,0.030806292183697223,0.0112914211829988,1.3665297048949712,False,Antiplatelet
Carbidopa-Levodopa (25-100),0.041695086586782164,0.03082945868372917,0.010865627903052993,1.3524430323127123,False,Other
Hyoscyamine,0.04210854016921737,0.03167455516416918,0.01043398500504819,1.3294122032959534,False,Other
Pramipexole,0.044426329371829824,0.03411568815095557,0.010310641220874252,1.3022258022541295,False,Other
MetFORMIN (Glucophage),0.035022270186124624,0.024720615973430022,0.010301654212694602,1.416723200739291,False,Antidiabetic
Guaifenesin-CODEINE Phosphate,0.02558560710814264,0.01545349769294262,0.01013210941520002,1.6556515305804977,False,Other
Linezolid,0.021793983773224883,0.012596407905220985,0.009197575868003897,1.7301745019063464,False,Other
CycloSPORINE (Neoral) MODIFIED,0.03409312255680561,0.025550315156579018,0.008542807400226594,1.334352329819575,False,Other
Morphine Sulfate IR,0.027708139489678776,0.019313956890255213,0.008394182599423563,1.4346174451522575,False,Other
Heparin (via Anti-Xa Monitoring),0.02279800467658788,0.014440064628918966,0.008357940047668913,1.5788021219053656,False,Anticoagulant
GuaiFENesin-Dextromethorphan,0.03216107638210666,0.023914721922884727,0.008246354459221936,1.344823347133748,False,Other
Hydrocortisone (Rectal) 2.5% Cream,0.02914447844442394,0.020995462127029896,0.008149016317394044,1.388132267253259,False,Other
