drug_name,avg_attention,n_patients,is_lipid_drug
Triamterene-HCTZ (37.5/25),0.06003997897108396,15,False
Bacitracin Ointment,0.05552564864643873,39,False
Nicotine Polacrilex,0.051095809255327494,21,False
Chlorthalidone,0.050521403756718354,77,False
Phenazopyridine,0.05024957973510027,20,False
PhenAZOPYRIDine,0.0487095474337156,13,False
PNEUMOcoccal 23-valent polysaccharide vaccine,0.048611748681746815,76,False
Prasugrel,0.04810912421505366,14,False
Atenolol,0.0472886320669204,140,False
Hydrochlorothiazide,0.04503183890970386,245,False
Ibuprofen,0.04322176456691757,155,False
Influenza Vaccine Quadrivalent,0.042621676737014814,701,False
Cilostazol,0.04259472891377906,12,False
Oxybutynin,0.041998609922133216,43,False
Amitriptyline,0.04194484080147484,23,False
Verapamil SR,0.04176057660952211,30,False
PARoxetine,0.041458618274191394,32,False
Nortriptyline,0.04117533429823023,47,False
NIFEdipine CR,0.04110851900821382,11,False
Letrozole,0.04099918343126774,14,False
Mesalamine DR,0.04067543391138315,10,False
RisperiDONE,0.04059848298747388,63,False
Pramipexole,0.04055983891400198,24,False
Propranolol,0.04043962244458239,29,False
Rivaroxaban,0.04002116095351497,97,False
OxycoDONE Liquid,0.03980363651903139,36,False
Zolpidem Tartrate,0.03974020274472423,64,False
Influenza Vaccine High-Dose Quadrivalent,0.039610720633600764,208,False
Prazosin,0.03927663758397102,25,False
Enoxaparin (Prophylaxis),0.03890945817347459,261,False
OxyCODONE--Acetaminophen (5mg-325mg),0.03878568632838627,36,False
Rosuvastatin Calcium,0.038544606496413635,224,True
Alendronate Sodium,0.03828418398132691,13,False
Losartan Potassium,0.03824908367576117,376,False
Amphetamine-Dextroamphetamine,0.03805784938029117,18,False
Ferrous GLUCONATE,0.0379210186119263,13,False
Dorzolamide 2%/Timolol 0.5% Ophth.,0.03783605230580035,38,False
TiCAGRELOR,0.03782065988828739,66,False
Fexofenadine,0.037574343741513215,26,False
Escitalopram Oxalate,0.03756641413740538,108,False
Anastrozole,0.03755221465094523,22,False
QUEtiapine extended-release,0.03748027297357718,15,False
Oxycodone-Acetaminophen (5mg-325mg),0.03746727230027318,10,False
Simvastatin,0.03745532000698803,228,True
Remdesivir,0.03741671201229716,48,False
Flecainide Acetate,0.03724036831408739,13,False
Fish Oil (Omega 3),0.03718094570054249,33,True
Terazosin,0.03713237225181527,18,False
Carbidopa-Levodopa (25-100),0.037091006966844454,59,False
NIFEdipine (Extended Release),0.03707037793527193,68,False
Psyllium Powder,0.03696096077328548,32,False
Propranolol LA,0.03695908188819885,14,False
Hyoscyamine,0.036891547666693274,22,False
Clopidogrel,0.03678297350950676,381,False
Esomeprazole sodium,0.03670647898688913,10,False
ARIPiprazole,0.036609800924596037,38,False
Donepezil,0.03649830806323073,55,False
Pravastatin,0.03647255430157047,164,True
Atorvastatin,0.03644255232182422,1279,True
Nicotine Patch,0.03633315996784303,90,False
Omeprazole,0.036273746254373594,731,False
Cetirizine,0.03621973660351201,88,False
Hydroxyurea,0.03620087523900327,21,False
Bictegrav-Emtricit-Tenofov Ala,0.03617895441129804,18,False
Sotalol,0.03615239490237501,18,False
Enoxaparin Sodium,0.036144767829961184,209,False
MoviPrep,0.03606700924865436,128,False
HYDROcodone-Acetaminophen (5mg-325mg),0.03602222392025093,24,False
Tamsulosin,0.03601029321041881,351,False
amLODIPine,0.03578224686168184,745,False
Acetaminophen,0.03568375651847641,3922,False
Ketoconazole 2% ,0.03566834220493382,11,False
Cephalexin,0.03564565848559141,50,False
Nadolol,0.03562814179299907,22,False
Fluticasone Propionate NASAL,0.035620846978137985,208,False
Memantine,0.035612810137016435,28,False
Aspirin,0.03560271662499723,1459,False
Timolol Maleate 0.5%,0.03549268835207872,57,False
Tenofovir Disoproxil (Viread),0.035328929603565484,16,False
Dabigatran Etexilate,0.035288285464048386,18,False
OXcarbazepine,0.03526189395536979,24,False
Pyridoxine,0.03520857628721457,13,False
Lisinopril,0.03511438431047997,722,False
Levothyroxine Sodium,0.03503742439654997,644,False
Nitrofurantoin Monohyd (MacroBID),0.035030376062624984,36,False
Metoprolol Succinate XL,0.03499680203698973,862,False
Multivitamins,0.034878747243989795,409,False
Sertraline,0.034717196845052756,223,False
CloNIDine,0.03463995574536372,49,False
Sucralfate,0.034592554378120796,46,False
Apixaban,0.03448306403737119,470,False
BuPROPion (Sustained Release),0.0344697255641222,57,False
Valsartan,0.0344076844704178,111,False
Diazepam - CIWA protocol,0.03428724377105633,36,False
Loratadine,0.03428018376333256,73,False
Benzocaine-Menthol (Sore Throat Lozenge),0.03418487475182001,13,False
Ramelteon,0.034152145044527925,734,False
Cefpodoxime Proxetil,0.03407316492690194,62,False
Venlafaxine XR,0.03402660273795211,86,False
Ketorolac,0.03399716653172473,307,False
Hydroxychloroquine Sulfate,0.03399481065571308,35,False
Ezetimibe,0.03391825265134685,64,True
PALIperidone ER,0.0338954571634531,12,False
Aluminum-Magnesium Hydrox.-Simethicone,0.03389529286999337,137,False
Empagliflozin,0.033891068843121715,13,False
Amoxicillin-Clavulanic Acid,0.033886609410636884,89,False
Nitroglycerin SL,0.03386153123912311,155,False
Scopolamine Patch,0.033818179837514444,97,False
Fluticasone-Salmeterol Diskus (100/50),0.033805364846355386,36,False
Vitamin D,0.033761675455794525,473,False
Docusate Sodium,0.03373579572265347,1650,False
Atropine Sulfate,0.033730446276339615,22,False
Sodium Chloride 0.9%  Flush,0.03368468007809201,4300,False
Colchicine,0.03366624636368619,63,False
Meclizine,0.03365255708922632,32,False
Gentamicin,0.033598697646275946,19,False
Vitamin B Complex,0.033571564219892026,25,False
Doxazosin,0.033557793435951076,30,False
Acetaminophen (Liquid),0.03345869128991451,70,False
Naproxen,0.03341659913874335,18,False
Diazepam,0.03340755630094205,137,False
Latanoprost 0.005% Ophth. Soln.,0.03338679322389079,134,False
Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL,0.03336459421552718,28,False
Emtricitabine-Tenofovir (Truvada),0.033306246933837734,12,False
Erythromycin 0.5% Ophth Oint,0.033300188079010695,16,False
Finasteride,0.03316197848941823,133,False
FLUoxetine,0.03306911812761604,134,False
ClonazePAM,0.03301989117589516,195,False
Topiramate (Topamax),0.03298207473587887,58,False
BuPROPion XL (Once Daily),0.03294609050805632,57,False
Ciprofloxacin,0.03290817810391838,66,False
DULoxetine,0.03280779506820135,39,False
Morphine Sulfate,0.032689841029415856,482,False
CeFAZolin,0.03268650017264817,450,False
Ferrous Sulfate,0.03268192022647939,162,False
Ondansetron,0.032591432856773975,1330,False
Diltiazem Extended-Release,0.03248048356423775,117,False
Sulfameth/Trimethoprim DS,0.03247419744729996,70,False
OSELTAMivir,0.03247227361425757,20,False
Iohexol 240 (Omnipaque 240),0.032430100111434094,26,False
Brimonidine Tartrate 0.15% Ophth.,0.03223684270177846,46,False
